species	main_cell_type	sub_cell_type	marker_gene	evidence_type	note
Hs	B cells		CD79A	scRNA-seq canonical	B cell receptor component; Hao et al. 2021 Cell
Hs	B cells	Naive B cells	IGHD	scRNA-seq canonical	IgD+ naive B; Kikuta et al. 2025 Front Immunol
Hs	B cells	Naive B cells	IL4R	scRNA-seq canonical	Naive B cell marker; Hao et al. 2021 Cell
Hs	B cells	Naive B cells	FCER2	scRNA-seq canonical	CD23; naive/transitional B; Hao et al. 2021 Cell
Hs	B cells	Memory B cells	CD27	scRNA-seq canonical	Memory B canonical; Sanz et al. 2019 Front Immunol
Hs	B cells	Memory B cells	CD38	scRNA-seq canonical	Memory/activated B; Hao et al. 2021 Cell
Hs	B cells	Memory B cells	IGHG1	scRNA-seq canonical	IgG class-switched memory; Hao et al. 2021 Cell
Hs	NK cells		NCAM1	scRNA-seq canonical	CD56; pan-NK; Kikuta et al. 2025 Front Immunol
Hs	NK cells		NKG7	scRNA-seq canonical	Most discriminative NK gene; Zheng et al. 2017 Nat Commun
Hs	NK cells		GNLY	scRNA-seq canonical	Granulysin; NK effector; Zheng et al. 2017 Nat Commun
Hs	NK cells		KLRD1	scRNA-seq canonical	CD94; NK-defining; Hao et al. 2021 Cell
Hs	NK cells		KLRF1	scRNA-seq canonical	NKp80; NK-specific; Hao et al. 2021 Cell
Hs	NK cells	Mature NK cells	FCGR3A	scRNA-seq canonical	CD16a; mature cytotoxic NK; Kikuta et al. 2025
Hs	NK cells	Mature NK cells	FGFBP2	scRNA-seq canonical	Mature NK effector marker; Hao et al. 2021 Cell
Hs	NK cells	Mature NK cells	PRF1	scRNA-seq canonical	Perforin; cytotoxic NK; Hao et al. 2021 Cell
Hs	NK cells	Mature NK cells	GZMB	scRNA-seq canonical	Granzyme B; cytotoxic NK; distinct from CX3CR1 shared with monocytes; Hao et al. 2021 Cell
Hs	Monocytes		LYZ	scRNA-seq canonical	Most specific monocyte gene; Zheng et al. 2017 Nat Commun
Hs	Monocytes		S100A8	scRNA-seq canonical	Pan-myeloid; monocyte-high; Hao et al. 2021 Cell
Hs	Monocytes		S100A9	scRNA-seq canonical	Pan-myeloid; monocyte-high; Hao et al. 2021 Cell
Hs	Monocytes		CST3	scRNA-seq canonical	Pan-monocyte; Hao et al. 2021 Cell
Hs	Monocytes		ANPEP	scRNA-seq (CD13)	CD13; monocyte/myeloid; Kikuta et al. 2025
Hs	Monocytes	Classical monocytes	CD14	scRNA-seq canonical	Classical mono (CD14++CD16-); Kapellos et al. 2019 Front Immunol
Hs	Monocytes	Classical monocytes	CCR2	scRNA-seq canonical	Classical mono trafficking; Kapellos et al. 2019 Front Immunol
Hs	Monocytes	Classical monocytes	FCN1	scRNA-seq canonical	Ficolin-1; classical mono specific; Hao et al. 2021 Cell
Hs	Monocytes	Classical monocytes	VCAN	scRNA-seq canonical	Versican; classical mono; Hao et al. 2021 Cell
Hs	Monocytes	Non-classical monocytes	FCGR3A	scRNA-seq canonical	CD16a; non-classical/intermediate; Kapellos et al. 2019 Front Immunol
Hs	Monocytes	Non-classical monocytes	CDKN1C	scRNA-seq canonical	p57; non-classical mono specific; Hao et al. 2021 Cell
Hs	Monocytes	Non-classical monocytes	LST1	scRNA-seq canonical	Non-classical mono; Kapellos et al. 2019 Front Immunol
Hs	Monocytes	Non-classical monocytes	MS4A7	scRNA-seq canonical	Non-classical monocyte marker; Hao et al. 2021 Cell
Hs	Granulocytes		S100A12	scRNA-seq canonical	Alarmin; LDG and neutrophil high; Hao et al. 2021 Cell; Denny et al. 2010 J Immunol 184:3582
Hs	Granulocytes		FCGR3B	scRNA-seq canonical	CD16b; granulocyte-exclusive (CD16a/FCGR3A is on NK+mono); Hao et al. 2021 Cell; Smith & Clatworthy 2010 Nat Rev Immunol
Hs	Granulocytes		CXCR1	scRNA-seq canonical	IL-8RA; neutrophil/LDG trafficking receptor; Kolaczkowska & Kubes 2013 Nat Rev Immunol
Hs	Granulocytes		CXCR2	scRNA-seq canonical	IL-8RB; neutrophil/LDG; Kolaczkowska & Kubes 2013 Nat Rev Immunol
Hs	Granulocytes		CEACAM8	scRNA-seq (CD66b)	CD66b; granulocyte/LDG marker; Kikuta et al. 2025 Front Immunol
Hs	Platelets		PF4	scRNA-seq canonical	Platelet factor 4; most specific platelet marker; Hao et al. 2021 Cell
Hs	Platelets		PPBP	scRNA-seq canonical	Pro-platelet basic protein; platelet-exclusive; Hao et al. 2021 Cell
Hs	Platelets		GP9	scRNA-seq canonical	Glycoprotein IX; platelet surface; Lefrançais et al. 2017 Nature
Hs	Progenitors		CD34	scRNA-seq canonical	HSC/progenitor surface marker; Doulatov et al. 2012 Cell Stem Cell
Hs	Progenitors		GATA2	scRNA-seq canonical	Hematopoietic TF; marks CMP/HSC; Doulatov et al. 2012 Cell Stem Cell
Hs	Progenitors		MPO	scRNA-seq canonical	Myeloperoxidase; marks myeloid progenitors (CMP/GMP); Hao et al. 2021 Cell
Hs	Progenitors		SPINK2	scRNA-seq canonical	Progenitor-specific; HSC/MPP marker in UCB; Pellin et al. 2019 Nat Commun
